O_17_name,D_17_name,volume_ton
경기도,충청남도,42764896.133224495
인천광역시,경기도,36553023.83017966
서울특별시,경기도,31883500.7717
경기도,부산광역시,25356389.0874
경기도,인천광역시,24724910.313215595
경상남도,부산광역시,24498995.779506393
충청남도,경기도,23971327.2836
경기도,서울특별시,21795517.295949496
경기도,경상북도,19633422.5922
부산광역시,경기도,18045941.0464
충청북도,경기도,17254578.3426
부산광역시,경상남도,16854827.469280995
울산광역시,부산광역시,16606375.747834923
경기도,충청북도,16543562.689302128
경상북도,부산광역시,16302730.4754
강원도,경기도,15821566.7956
경기도,경상남도,14109134.3024
경기도,전라남도,13230272.4494
충청북도,충청남도,12652595.33
강원도,경상북도,11799476.909346677
